Service;Subservice;Area Of Service ;Provinsi;Kab/Kota (Edit);Clnt Id;Clnt Name;Appl Id;Request Reference;Status Simf;Channel;Freq;Freq_Pair;Bwidth;Erp Pwr Dbm;Curr Lic Num;Site Id;Stn Name;Stn Addr;Sid Lat;Sid Long;License Date ;Validity Date ;Ap Id;Tcs Id;Efl Id;Stasiun Lawan;Kab/Kota;NAMA UNIT PELAKSANA TEKNIS;BAND;15 Pita
Land Mobile (private);Standard;JALAN SOEKARNO HATTA NO. 1 KOMPLEK KANTOR BUPATI BIMA KECAMATAN WOHA,BIMA,WOHA,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00114905;BADAN PENANGGULANGAN BENCANA DAERAH PEMERINTAH KABUPATEN BIMA;030230022024;3066029;Granted;;165.9;161.05;16;45.9794;02829898-000SU/2620242029;0001;BS BPBD KABUPATEN BIMA;JALAN SOEKARNO HATTA NO. 1 KOMPLEK KANTOR BUPATI BIMA KECAMATAN WOHA;-8.56481667;118.67222222;27/02/2024;25/02/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;BUKIT DORONAE,BIMA,LAMBITU,NUSA TENGGARA BARAT,KA'OWA;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;039917102024;3568660;Granted;;351.7;356.7;16;45.9794;02932622-000SU/2620242029;0001;BS ULP BIMA KOTA (19);BUKIT DORONAE;-8.54388889;118.81166667;11/11/2024;10/11/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. SULTAN MUHAMMAD SALAHUDDIN, BIMA, PALIBELO, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00101151;BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS);038653072020;0939129;Granted;;154.25;159.25;16;45.9794;02319557-000SU/2620202025;0001;BS. POS SAR BIMA;JL. SULTAN MUHAMMAD SALAHUDDIN;-8.51778889;118.68989722;15/08/2020;14/08/2025;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;039723102024;3566228;Granted;;351.4;356.4;16;46.9794;02938406-000SU/0620242029;0003;MU.1-09 BERGERAK DI SEKITAR ULP WOHA (19);DESA LAMBITU HATTA;-8.54388889;118.81166667;11/11/2024;10/11/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL SOEKARNO HATTA,BIMA,LAMBITU,NUSA TENGGARA BARAT,KA'OWA;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;039904102024;3568505;Granted;;356.5;351.5;25;45.9794;02932626-000SU/2620242029;0002;REP ULP DOMPU (19);JL SOEKARNO HATTA;-8.54388889;118.81166667;11/11/2024;10/11/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;BUKIT DORONAE,BIMA,LAMBITU,NUSA TENGGARA BARAT,KA'OWA;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;039917102024;3568660;Granted;;356.7;351.7;16;45.9794;02932621-000SU/2620242029;0002;REP AREA BIMA (19);BUKIT DORONAE;-8.54388889;118.81166667;11/11/2024;10/11/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;BUKIT DORONAE,BIMA,LAMBITU,NUSA TENGGARA BARAT,KA'OWA;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;039753102024;3566613;Granted;;351.175;356.175;25;45.9794;02932630-000SU/2620242029;0001;BS ULP SAPE (19);BUKIT DORONAE;-8.54388889;118.81166667;11/11/2024;10/11/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;039904102024;3568505;Granted;;351.5;356.5;25;46.9794;02932627-000SU/0620242029;0003;MU.1-10 BERGERAK DI SEKITAR ULP DOMPU (19);JL SOEKARNO HATTA;-8.54388889;118.81166667;11/11/2024;10/11/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. LINTAS SAMPUNGU SOROMANDI, BIMA, SOROMANDI, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;033376042020;0877066;Granted;;352.3;352.3;16;45.9794;02262729-000SU/2620202025;0003;BS. KP_SAMPUNGU;JL. LINTAS SAMPUNGU SOROMANDI;-8.26790556;118.540825;01/04/2020;31/03/2025;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. LINTAS KALEO KEL. LAMBU BARAT, SAPE, BIMA, NTB, BIMA, SAPE, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;031500032020;0871408;Granted;;352.15;352.15;16;45.9794;02256933-000SU/2620202025;0002;19.BS. ULPLTD UNIT SAPE;JL. LINTAS KALEO KEL. LAMBU BARAT, SAPE, BIMA, NTB;-8.57055556;118.98177778;19/03/2020;18/03/2025;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;BAJO TENGAH - DS. BAJO PULAU, SAPE, BIMA, NTB, BIMA, SAPE, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;031551032020;0871407;Granted;;352.2;352.2;16;45.9794;02256936-000SU/2620202025;0001;19.BS. LINK_LABUHAN BAJO;BAJO TENGAH - DS. BAJO PULAU, SAPE, BIMA, NTB;-8.57257222;119.03756111;19/03/2020;18/03/2025;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. LINTAS SUMBAWA-BIMA,PANDAI, BIMA, WOHA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;036803012020;0840741;Granted;;359.1;364.1;16;45.9794;02233945-000SU/2620202025;0004;BS. GI WOHA;JL. LINTAS SUMBAWA-BIMA,PANDAI;-8.55519444;118.63810278;14/01/2020;13/01/2030;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. LINTAS SUMBAWA-BIMA,PANDAI, BIMA, WOHA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;036130122019;0837763;Granted;;352.45;352.45;16;45.9794;02230713-000SU/2620202024;0009;BS. GI WOHA 2;JL. LINTAS SUMBAWA-BIMA,PANDAI;-8.55519444;118.63810278;01/01/2020;31/12/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. LINTAS KARUMBU, BIMA, LANGGUDU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;036978012020;0841175;Granted;;352.275;352.275;16;45.9794;02234419-000SU/2620202025;0001;BS. LINK_KP KARUMBU;JL. LINTAS KARUMBU;-8.70295556;118.82507222;15/01/2020;14/01/2030;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. LINTAS CALABAI DS PEKAT, BIMA, SOROMANDI, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;036967012020;0841174;Granted;;352.25;352.25;16;45.9794;02234371-000SU/2620202025;0002;BS. KP_PEKAT;JL. LINTAS CALABAI DS PEKAT;-8.3049;118.65426667;15/01/2020;14/01/2030;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JLN. LINTAS KALEO KEL. LAMBU BARAT, BIMA, SAPE, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;034519122019;0830204;Granted;;351.1;356.1;16;45.9794;02225075-000SU/2620192024;0006;BS. ULPLTD_UNIT SAPE;JLN. LINTAS KALEO KEL. LAMBU BARAT;-8.57058333;118.98177778;16/12/2019;15/12/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JLN. LINTAS KALEO KEL. LAMBU BARAT, SAPE, BIMA, NTB, BIMA, SAPE, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;031675072019;0745187;Granted;;359.675;364.675;16;45.9794;02139004-000SU/2620192024;0003;BS. ULPLTD UNIT SAPE;JLN. LINTAS KALEO KEL. LAMBU BARAT, SAPE, BIMA, NTB;-8.57055556;118.98177778;05/09/2019;04/09/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Broadcast;FM;KOTA BIMA;NUSA TENGGARA BARAT;BIMA;00103577;RADIO PELANGI CITRA NUANSA BIMA, PT;019045042023;1824531;Granted;;103.2;;300;57.6228;02693415-000SU/2020232028;0001;RADIO PELANGI CITRA NUANSA BIMA;JALAN GAJAH MADA NO. 29 BTN PENATOI;-8.47722222;118.91444444;26/04/2023;25/04/2028;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;1. Radio FM, DRM  (87 – 108 MHz)
Land Mobile (private);Standard;JL. SULTAN SALAHUDDIN NO.22, BIMA, PALIBELO, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;2602;DIREKTORAT JENDERAL BEA DAN CUKAI;031216072021;1132012;Granted;;362.1;367.1;12.5;56.44068;02463652-000SU/2620212026;0002;REP. KPPBC TMP C SUMBAWA BANDARA BIMA;JL. SULTAN SALAHUDDIN NO.22;-8.54105278;118.69128056;03/07/2021;02/07/2026;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN LINTAS BIMA SAPE, BIMA, LAMBITU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00115018;DINAS KOMUNIKASI INFORMASI DAN STATISTIK BIMA;033452082019;0733561;Granted;;166.175;161.175;16;48.0206;02126853-000SU/2620192024;0002;REP. LAMBITU;JALAN LINTAS BIMA SAPE;-8.54416667;118.81138889;06/08/2019;05/08/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;BUKIT DORONAE DESA LAMBITU, BIMA, LAMBITU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00111851;BADAN PENANGGULANGAN BENCANA DAERAH PEMERINTAH KOTA BIMA;032298092017;0496876;Granted;;169.775;164.775;16;48.0206;01963175-000SU/2620172022;0002;REP. BPBD KOTA BIMA DORONAE;BUKIT DORONAE DESA LAMBITU;-8.54441667;118.81101667;09/10/2017;07/10/2027;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;BUKIT DORONAE-LAMBU, WAWO, BIMA, NTB, BIMA, LAMBITU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;031738072019;0743107;Granted;;364.55;359.55;16;48.0206;02136987-000SU/2620192024;0003;REP. SITE_ULP BIMA KOTA;BUKIT DORONAE-LAMBU, WAWO, BIMA, NTB;-8.54429722;118.811325;30/08/2019;29/08/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN RAYA TELKOM DORONAE KECAMATAN LAMBITU, BIMA, LAMBITU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00116649;DINAS KOMUNIKASI DAN INFORMATIKA KOTA BIMA;039340072020;0934508;Granted;;168.075;163.075;16;48.0206;02316151-000SU/2620202025;0002;REP. KOMINFO KOTA BIMA;JALAN RAYA TELKOM DORONAE KECAMATAN LAMBITU;-8.54358333;118.81113889;06/08/2020;05/08/2025;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN DESA KADOLE KECAMATAN LAMBITU - BIMA,BIMA,WOHA,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00114905;BADAN PENANGGULANGAN BENCANA DAERAH PEMERINTAH KABUPATEN BIMA;030230022024;3066029;Granted;;161.05;165.9;16;48.0206;02829897-000SU/2620242029;0002;REP BPBD KABUPATEN BIMA;JALAN DESA KADOLE KECAMATAN LAMBITU - BIMA;-8.54416667;118.67805556;27/02/2024;25/02/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;BUKIT DORONAE,BIMA,LAMBITU,NUSA TENGGARA BARAT,KA'OWA;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;039753102024;3566613;Granted;;356.175;351.175;25;48.0206;02932629-000SU/2620242029;0002;REP. ULP SAPE (19);BUKIT DORONAE;-8.54388889;118.81166667;11/11/2024;10/11/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;DESA LAMBITU HATTA,BIMA,LAMBITU,NUSA TENGGARA BARAT,KA'OWA;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;039723102024;3566228;Granted;;356.4;351.4;16;48.0206;02938404-000SU/2620242029;0002;REP.WOHA (19);DESA LAMBITU HATTA;-8.54388889;118.81166667;11/11/2024;10/11/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. LINTAS BIMA-SAPE, DS.KAOWA, BIMA, LAMBITU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00101151;BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS);038653072020;0939129;Granted;;159.25;154.25;16;60.0206;02319558-000SU/2620202025;0002;REP. DORONAE;JL. LINTAS BIMA-SAPE, DS.KAOWA;-8.54433333;118.81113889;15/08/2020;14/08/2025;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;DESA KADOLE KEC. LAMBITU, BIMA, LAMBITU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00115364;SATUAN POLISI PAMONG PRAJA KABUPATEN BIMA;038810102019;0774612;Granted;;355.025;350.025;16;48.0206;02156190-000SU/2620192024;0001;REP. LAMBITU;DESA KADOLE KEC. LAMBITU;-8.54416667;118.81138889;08/10/2019;07/10/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Broadcast;FM;BOLO, WOHA, BELO, PALIBELO;NUSA TENGGARA BARAT;BIMA;1035;LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA;019492092020;0970608;Granted;;91.4;;300;65.3103;02347010-000SU/2020202025;0001;LPP RRI BIMA 91.4 MHz;JL. LINTAS RISA KALAMPA, KALAMPA,;-8.58103611;118.67838611;25/09/2020;24/09/2025;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;VHF;1. Radio FM, DRM  (87 – 108 MHz)
Land Mobile (private);Standard;BUKIT DORONAE-LAMBU, BIMA, LAMBITU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;036803012020;0840741;Granted;;364.1;359.1;16;48.0206;02233949-000SU/2620202025;0008;REP. DCC BIMA;BUKIT DORONAE-LAMBU;-8.54429722;118.811325;14/01/2020;13/01/2030;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;BUKIT DORONAE-LAMBU, BIMA, LAMBITU, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;BIMA;00103494;PLN (PERSERO), PT.;034369122019;0826863;Granted;;357.05;352.05;25;48.0206;02220813-000SU/2620192024;0004;REP. SITE_ULP BIMA KOTA;BUKIT DORONAE-LAMBU;-8.54429722;118.811325;08/12/2019;07/12/2029;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Broadcast;DVB-T;NUSA TENGGARA BARAT - 5;NUSA TENGGARA BARAT;BIMA;2073;LEMBAGA PENYIARAN PUBLIK TELEVISI REPUBLIK INDONESIA;017230112022;1730934;Granted;;538;;8000;72.0699;02648448-000SU/2020222027;0001;TVRI BIMA;JL. SITE DORONALE, KEL. KAOWA;-8.54363056;118.81107778;21/12/2022;20/12/2027;;;;;BIMA;Balai Monitor SFR Kelas II Mataram;UHF;8. Televisi UHF, IMT (478 – 806 MHz)
Land Mobile (private);Standard;JL. LINTAS SUMBAWA, DESA TEKASIRE, KEC. MANGGALEWA, KAB. DOMPU, NUSA TENGGARA BARAT, DOMPU, MANGGALEWA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;DOMPU;00115081;SEGER AGRO NUSANTARA, PT.;035954042021;1096008;Granted;;152.775;152.775;16;36.9897;02442514-000SU/0620212026;0002;HT 2-17 BERGERAK SEKITAR JL. LINTAS SUMBAWA;JL. LINTAS SUMBAWA, DESA TEKASIRE, KEC. MANGGALEWA, KAB. DOMPU, NUSA TENGGARA BARAT;-8.54191667;118.34272222;17/04/2021;16/04/2026;;;;;DOMPU;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
