Service,Subservice,Area Of Service ,Provinsi,Kab/Kota (Edit),Clnt Id,Clnt Name,Appl Id,Request Reference,Status Simf,Channel,Freq,Freq_Pair,Bwidth,Erp Pwr Dbm,Curr Lic Num,Site Id,Stn Name,Stn Addr,Sid Lat,Sid Long,License Date ,Validity Date ,Ap Id,Tcs Id,Efl Id,Stasiun Lawan,Kab/Kota,NAMA UNIT PELAKSANA TEKNIS,Pita,Band,Link ID
Land Mobile (private),Standard,"JALAN LINTAS BIMA SAPE, BIMA, LAMBITU, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,115018,DINAS KOMUNIKASI INFORMASI DAN STATISTIK BIMA,33452082019,733561,Granted,,166.175,161.175,16,48.0206,02126853-000SU/2620192024,2,REP. LAMBITU,JALAN LINTAS BIMA SAPE,-8.54416667,118.8113889,6-Aug-19,5-Aug-29,,,,MU. 01 - 02 BERGERAK DISEKITAR JALAN LINTAS BIMA SAPE,BIMA,Balai Monitor SFR Kelas II Mataram,"3. Komrat VHF, Instansi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)",VHF,
Land Mobile (private),Standard,"JALAN DESA KADOLE KECAMATAN LAMBITU - BIMA,BIMA,WOHA,NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,114905,BADAN PENANGGULANGAN BENCANA DAERAH PEMERINTAH KABUPATEN BIMA,30230022024,3066029,Granted,,161.05,165.9,16,48.0206,02829897-000SU/2620242029,2,REP BPBD KABUPATEN BIMA,JALAN DESA KADOLE KECAMATAN LAMBITU - BIMA,-8.54416667,118.6780556,27-Feb-24,25-Feb-29,,,,,BIMA,Balai Monitor SFR Kelas II Mataram,"3. Komrat VHF, Instansi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)",VHF,
Land Mobile (private),Standard,"JL. LINTAS BIMA-SAPE, DS.KAOWA, BIMA, LAMBITU, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,101151,BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS),38653072020,939129,Granted,,159.25,154.25,16,60.0206,02319558-000SU/2620202025,2,REP. DORONAE,"JL. LINTAS BIMA-SAPE, DS.KAOWA",-8.54433333,118.8111389,15-Aug-20,14-Aug-30,,,,BS. POS SAR BIMA,BIMA,Balai Monitor SFR Kelas II Mataram,"3. Komrat VHF, Instansi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)",VHF,
Land Mobile (private),Standard,"BUKIT DORONAE-LAMBU, WAWO, BIMA, NTB, BIMA, LAMBITU, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",31738072019,743107,Granted,,364.55,359.55,16,48.0206,02136987-000SU/2620192024,3,REP. SITE_ULP BIMA KOTA,"BUKIT DORONAE-LAMBU, WAWO, BIMA, NTB",-8.54429722,118.811325,30-Aug-19,29-Aug-29,,,,MU. 01 - 07  BERGERAK SEKITAR JLN. SOEKARNO-HATTA,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (private),Standard,"BUKIT DORONAE-LAMBU, BIMA, LAMBITU, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",36803012020,840741,Granted,,364.1,359.1,16,48.0206,02233949-000SU/2620202025,8,REP. DCC BIMA,BUKIT DORONAE-LAMBU,-8.54429722,118.811325,14-Jan-20,13-Jan-30,,,,HT. 01 - 33 BERGERAK SEKITAR REP. DCC BIMA,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (private),Standard,"BUKIT DORONAE-LAMBU, BIMA, LAMBITU, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",34369122019,826863,Granted,,357.05,352.05,25,48.0206,02220813-000SU/2620192024,4,REP. SITE_ULP BIMA KOTA,BUKIT DORONAE-LAMBU,-8.54429722,118.811325,8-Dec-19,7-Dec-29,,,,HT. 21 - 31 BERGERAK SEKITAR REP. SITE ULP BIMA KT,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (private),Standard,"DESA LAMBITU HATTA,BIMA,LAMBITU,NUSA TENGGARA BARAT,KA'OWA",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",39723102024,3566228,Granted,,356.4,351.4,16,48.0206,02938404-000SU/2620242029,2,REP.WOHA (19),DESA LAMBITU HATTA,-8.54388889,118.8116667,11-Nov-24,10-Nov-29,,,,,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (private),Standard,"BUKIT DORONAE,BIMA,LAMBITU,NUSA TENGGARA BARAT,KA'OWA",NUSA TENGGARA BARAT,BIMA,103494,"PLN (PERSERO), PT.",39753102024,3566613,Granted,,356.175,351.175,25,48.0206,02932629-000SU/2620242029,2,REP. ULP SAPE (19),BUKIT DORONAE,-8.54388889,118.8116667,11-Nov-24,10-Nov-29,,,,,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (private),Standard,"DESA KADOLE KEC. LAMBITU, BIMA, LAMBITU, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,BIMA,115364,SATUAN POLISI PAMONG PRAJA KABUPATEN BIMA,38810102019,774612,Granted,,355.025,350.025,16,48.0206,02156190-000SU/2620192024,1,REP. LAMBITU,DESA KADOLE KEC. LAMBITU,-8.54416667,118.8113889,8-Oct-19,7-Oct-29,,,,HT.01 - 40 BERGERAK DISEKITAR KECAMATAN WOHA,BIMA,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,11472678
Aeronautical,Ground-To-Air,"BANDARA SULTAN M SALAHUDDIN,BIMA,PALIBELO,NUSA TENGGARA BARAT,PANDA",NUSA TENGGARA BARAT,BIMA,112440,PERUM LPPNPI CABANG LOMBOK,141102025,2132/DU/DJID/2025,Granted,,115.1,,0,50,,,SALAHUDDIN TOWER,BANDARA SULTAN M SALAHUDDIN,-8.51972222,118.6894444,29-Oct-25,28-Oct-30,,,,,BIMA,Balai Monitor SFR Kelas II Mataram,2. Penerbangan VHF (108 – 137 MHz),VHF,
Broadcast,DVB-T,NUSA TENGGARA BARAT - 5,NUSA TENGGARA BARAT,BIMA,2073,LEMBAGA PENYIARAN PUBLIK TELEVISI REPUBLIK INDONESIA,17230112022,1730934,Granted,,538,,8000,72.0699,02648448-000SU/2020222027,1,TVRI BIMA,"JL. SITE DORONALE, KEL. KAOWA",-8.54363056,118.8110778,21-Dec-22,20-Dec-27,,,,,BIMA,Balai Monitor SFR Kelas II Mataram,"8. Televisi UHF, IMT (478 – 806 MHz)",UHF,
Broadcast,FM,"BOLO, WOHA, BELO, PALIBELO",NUSA TENGGARA BARAT,BIMA,1035,LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA,19492092020,970608,Granted,,91.4,,300,65.3103,02347010-000SU/2020202025,1,LPP RRI BIMA 91.4 MHz,"JL. LINTAS RISA KALAMPA, KALAMPA,",-8.58103611,118.6783861,25-Sep-20,24-Sep-30,,,,,BIMA,Balai Monitor SFR Kelas II Mataram,"1. Radio FM, DRM  (87 – 108 MHz)",VHF,
Land Mobile (private),Standard,"DESA DOROPETI, DOMPU, PEKAT, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,DOMPU,104530,"SUKSES MANTAP SEJAHTERA, PT.",38217052017,0437480/2,Granted,,163.425,168.425,16,45.9794,01943893-000SU/2620172022,1,BS. SMS AGRO,DESA DOROPETI,-8.39088333,117.8817222,8-Jun-17,7-Jun-27,,,,,DOMPU,Balai Monitor SFR Kelas II Mataram,"3. Komrat VHF, Instansi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)",VHF,
Land Mobile (public),Trunking,"KAMPUNG DOROFANDA KEC HU'U KAB DOMPU HU'U NUSA TENGGARA BARAT DOMPU HU'U NUSA TENGGARA BARAT, DOMPU, HU'U, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,DOMPU,103031,"NEXCOM INDONESIA, PT.",1.01374E+13,1361132,Granted,,428.1375,418.1375,12.5,48.9794,02586697-000SU/2620222027,1,B.S 03 DOROFANDA,KAMPUNG DOROFANDA KEC HU'U KAB DOMPU HU'U NUSA TENGGARA BARAT DOMPU HU'U NUSA TENGGARA BARAT,-8.83936389,118.4531306,5-Aug-22,4-Aug-27,,,,,DOMPU,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (public),Trunking,"JALAN LINTAS LAKY DESA NANGADORO KECAMATAN HU'U KABUPATEN DOMPU NUSA TENGGARA BARAT, DOMPU, HU U, NUSA TENGGARA BARAT",NUSA TENGGARA BARAT,DOMPU,103031,"NEXCOM INDONESIA, PT.",1.01369E+13,1203004,Granted,,427.6375,417.6375,12.5,48.9794,02501845-000SU/2620212026,1,BS. NANGADORO 2,JALAN LINTAS LAKY DESA NANGADORO KECAMATAN HU'U KABUPATEN DOMPU NUSA TENGGARA BARAT,-8.83257778,118.4159111,19-Nov-21,18-Nov-26,,,,,DOMPU,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (public),Trunking,"JALAN LINTAS LAKEY DUSUN NANGADORO, DESA HU'U KECAMATAN HU'U, KABUPATEN DOMPU, NUSA TENGGARA BARAT,DOMPU,HU'U,NUSA TENGGARA BARAT,HU'U",NUSA TENGGARA BARAT,DOMPU,103031,"NEXCOM INDONESIA, PT.",1.0144E+13,3909127,Granted,,426.6375,,12.5,51.1294,03055077-000SU/2620252030,1,BS. NANGADORO,"JALAN LINTAS LAKEY DUSUN NANGADORO, DESA HU'U KECAMATAN HU'U, KABUPATEN DOMPU, NUSA TENGGARA BARAT",-8.83259167,118.4113194,16-Dec-25,15-Dec-30,,,,,DOMPU,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (public),Trunking,"JALAN LINTAS LAKEY DUSUN NANGADORO, DESA HU'U KECAMATAN HU'U, KABUPATEN DOMPU, NUSA TENGGARA BARAT,DOMPU,HU'U,NUSA TENGGARA BARAT,HU'U",NUSA TENGGARA BARAT,DOMPU,103031,"NEXCOM INDONESIA, PT.",1.0144E+13,3909127,Granted,,426.3875,,12.5,51.1294,03055077-000SU/2620252030,1,BS. NANGADORO,"JALAN LINTAS LAKEY DUSUN NANGADORO, DESA HU'U KECAMATAN HU'U, KABUPATEN DOMPU, NUSA TENGGARA BARAT",-8.83259167,118.4113194,16-Dec-25,15-Dec-30,,,,,DOMPU,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (public),Trunking,"JALAN LINTAS LAKEY DUSUN NANGADORO, DESA HU'U KECAMATAN HU'U, KABUPATEN DOMPU, NUSA TENGGARA BARAT,DOMPU,HU'U,NUSA TENGGARA BARAT,HU'U",NUSA TENGGARA BARAT,DOMPU,103031,"NEXCOM INDONESIA, PT.",1.0144E+13,3909127,Granted,,426.1375,,12.5,51.1294,03055077-000SU/2620252030,1,BS. NANGADORO,"JALAN LINTAS LAKEY DUSUN NANGADORO, DESA HU'U KECAMATAN HU'U, KABUPATEN DOMPU, NUSA TENGGARA BARAT",-8.83259167,118.4113194,16-Dec-25,15-Dec-30,,,,,DOMPU,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (public),Trunking,"DESA DAHA, KECAMATAN HU'U, KABUPATEN DOMPU, NUSA TENGGARA BARAT,DOMPU,HU'U,NUSA TENGGARA BARAT,MERADA",NUSA TENGGARA BARAT,DOMPU,103031,"NEXCOM INDONESIA, PT.",1.0144E+13,3909156,Granted,,424.6375,,12.5,51.1278,03055078-000SU/2620252030,1,BS. MADADUWE,"DESA DAHA, KECAMATAN HU'U, KABUPATEN DOMPU, NUSA TENGGARA BARAT",-8.79126667,118.4693889,16-Dec-25,15-Dec-30,,,,,DOMPU,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (public),Trunking,"DESA DAHA, KECAMATAN HU'U, KABUPATEN DOMPU, NUSA TENGGARA BARAT,DOMPU,HU'U,NUSA TENGGARA BARAT,MERADA",NUSA TENGGARA BARAT,DOMPU,103031,"NEXCOM INDONESIA, PT.",1.0144E+13,3909156,Granted,,424.3875,,12.5,51.1278,03055078-000SU/2620252030,1,BS. MADADUWE,"DESA DAHA, KECAMATAN HU'U, KABUPATEN DOMPU, NUSA TENGGARA BARAT",-8.79126667,118.4693889,16-Dec-25,15-Dec-30,,,,,DOMPU,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
Land Mobile (public),Trunking,"JLN. LINTAS LAKEY DUSUN NANGADORO DESA HU'U, KEC. DOMPU, KAB. DOMPU, NUSA TENGGARA BARAT,DOMPU,HU'U,NUSA TENGGARA BARAT,HU'U",NUSA TENGGARA BARAT,DOMPU,103031,"NEXCOM INDONESIA, PT.",1.01433E+13,3668755,Granted,,424.1375,,12.5,51.1278,02952873-000SU/2620252030,1,BS. CH300,"JLN. LINTAS LAKEY DUSUN NANGADORO DESA HU'U, KEC. DOMPU, KAB. DOMPU, NUSA TENGGARA BARAT",-8.85008611,118.4061278,27-Feb-25,26-Feb-30,,,,,DOMPU,Balai Monitor SFR Kelas II Mataram,"5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)",UHF,
